filename,subj,arm,series,cond,no,totDur,attDur,decDur,transDur,LAT,totSPL,attSPL,decSPL,transSPL,totSC,attSC,decSC,transSC,TC,totFlat,attFlat,decFlat,transFlat,totSpecFlat,attSpecFlat,decSpecFlat,transSpecFlat,totCrest,attCrest,decCrest,transCrest
S1R30C008.wav,S1,D,13,C,8,390.657596371882,6.7800453514739,383.877551020408,83.3313455544379,-4.99377148804425,101.683382192899,110.961073685727,101.066870553103,107.279359666154,842.167629512153,1136.91427261129,838.693694824763,842.167629512153,190.08871516895,0.422320462245643,0.776196590305515,0.415179998444088,0.673935462292169,0.0218527288076349,0.0474856972515369,0.0220138220780989,0.0108173791625754,7.99800282552082,2.74850783033693,6.05046173866763,2.95913012502904
S1R30C009.wav,S1,D,13,C,9,390.634920634921,6.7800453514739,383.854875283447,82.8524397438119,-4.99377148804425,101.819745974809,111.168645873488,101.190707501743,107.432192077601,851.047976342142,1061.86656625345,847.720219758997,851.047976342142,189.609809358324,0.412556958734603,0.78069735506594,0.407954037302776,0.629278532351087,0.0220024974965249,0.0406391524049097,0.0221742268866469,0.01089491877858,7.97683123297838,2.7188510062052,6.1831680161503,3.01395538337978
S1R31N001.wav,S1,D,14,N,1,399.206349206349,6.7800453514739,392.426303854875,83.4897396374418,-4.99377148804425,100.305463131253,109.730805207944,99.6778399361344,105.968667228572,834.921959760754,1031.93628865202,831.043734693544,834.921959760754,190.247109251954,0.398369958772409,0.714002808538685,0.425019096962513,0.666912690316357,0.021659567080952,0.0372854138236981,0.0218203814951106,0.011117305626012,8.12480715722156,2.74502281205762,6.24991394318452,3.02923295483731
S1R31N002.wav,S1,D,14,N,2,378.1179138322,6.19047619047618,371.927437641723,84.3453057105803,-5.08474326624998,100.541222051716,110.057853526245,99.9274479549624,105.947977588746,833.462547147035,1040.96523371637,830.617816412189,833.462547147035,190.513106164095,0.423633688964044,0.738629071315624,0.424884656870602,0.691271023515853,0.0209220330885449,0.0389105200199398,0.0210379674158379,0.0116876358819054,7.89338362258114,2.63895288495974,6.06922908494045,3.03463909632169
S1R31N003.wav,S1,D,14,N,3,347.709750566893,6.19047619047618,341.519274376417,82.8530899011488,-5.08474326624998,101.82858294471,111.393219916404,101.143206887486,106.879215160933,865.004175988867,1100.96822069508,860.705893321836,865.004175988867,189.020890354663,0.406365211440559,0.66941884897572,0.423716646283245,0.668266493969625,0.0193725280352724,0.0427833538500012,0.0194625839862473,0.0112304260458205,7.8675372769166,2.6158146077544,6.24150148911794,3.22469515276609
S1R31N004.wav,S1,D,14,N,4,345.668934240363,6.19047619047618,339.478458049887,82.5247136631923,-5.08474326624998,102.036784169879,111.41897076606,101.383263488437,107.109865937064,849.428548844555,982.595777679911,845.590891789578,849.428548844555,188.692514116707,0.40411027132452,0.80012605745592,0.409900793979341,0.651261434510912,0.0186325608918265,0.0354176518620123,0.0187483002846606,0.0110691284981036,7.71464147398185,2.61942771268456,6.1622146971082,3.18718081849395
S1R31N005.wav,S1,D,14,N,5,350.702947845805,6.19047619047618,344.512471655329,83.9937964900819,-5.08474326624998,101.952936587372,111.236705300557,101.327989484087,107.024721307252,848.091041597244,1112.06293501369,843.77415285798,848.091041597244,190.161596943597,0.416375339615241,0.696289788741214,0.439468129706662,0.653220849905983,0.0182543062268479,0.0433948073564489,0.0183465932830383,0.0112073300481496,8.15677349269295,2.80110872827054,6.34109171991124,3.29099667771529
S1R31N006.wav,S1,D,14,N,6,345.895691609977,6.19047619047618,339.705215419501,82.4179850348016,-5.08474326624998,101.378309194444,110.802756933676,100.717795310912,106.468834897212,863.762448887422,1076.61200662195,859.625520222628,863.762448887422,188.585785488316,0.427640010286091,0.719596602562978,0.43627542048419,0.657439193897905,0.0203151695940521,0.0425868405478294,0.0204198406619623,0.0112612772354441,7.64367101745028,2.58273352466836,6.16035006173232,3.17726480704377
S1R31N007.wav,S1,D,14,N,7,338.480725623583,6.19047619047618,332.290249433107,80.8916216844922,-5.08474326624998,102.222790329332,111.780676860171,101.518266094743,107.242731833692,866.690702972001,1033.20030126344,862.171359226771,866.690702972001,187.059422138007,0.397582178774648,0.762931762087336,0.417188734346073,0.626378856092102,0.0186426475748373,0.0420343451907618,0.0188046863346831,0.0114321068838861,7.98085281899322,2.65555300987855,6.5155276311553,3.37074814306463
S1R31N008.wav,S1,D,14,N,8,419.68253968254,6.19047619047618,413.492063492064,84.2547795403075,-5.08474326624998,101.645901909527,111.531261467203,101.040565331547,107.491131376339,831.578583956844,1104.86496794336,829.459595038803,831.578583956844,190.422579993822,0.406979164196979,0.720190210306509,0.406465828395869,0.672534785645065,0.0192585943376985,0.0469275623958649,0.0193888552936927,0.0107403587711844,8.88691820989645,2.84762767682603,6.55065443776889,3.11714057123083
S1R32C001.wav,S1,D,15,C,1,399.206349206349,6.7800453514739,392.426303854875,85.0303020764363,-4.99377148804425,100.23957947892,109.545671045296,99.6324935799046,105.813415734616,824.19315448689,1244.89821357173,820.745359075533,824.19315448689,191.787671690949,0.419566287456779,0.69286692310595,0.436416802639149,0.673322662215296,0.0211703123274951,0.0565894457447626,0.0213299204542817,0.0117136034434441,7.87607773208426,2.6977730718374,5.96904388224248,2.92993957553081
S1R32C002.wav,S1,D,15,C,2,399.206349206349,6.19047619047618,393.015873015873,85.5465863934835,-5.08474326624998,100.122154835829,109.544749191684,99.5613361752628,105.725123415966,819.302076840284,1074.26692065866,815.855634915484,819.302076840284,191.714386846998,0.409245128077401,0.684597088733809,0.425018803948925,0.692126615614266,0.0210134273712395,0.0417134909400367,0.0211410039907867,0.0117196903182353,8.1726860064479,2.76207263977827,5.98297730624284,2.94257806664067
S1R32C003.wav,S1,D,15,C,3,398.843537414966,6.7800453514739,392.063492063492,83.8664804447214,-4.99377148804425,101.122396836171,110.576888170932,100.488909712494,106.719756813772,829.580409345315,1182.77226179389,825.502758392378,829.580409345315,190.623850059234,0.382718876158155,0.739049918314085,0.419156397805847,0.661836406446885,0.0199283824381673,0.0471220390548832,0.0200695500874786,0.011438331251506,8.2801262735562,2.78812597959919,6.17765883951799,3.01496007670012
S1R32C004.wav,S1,D,15,C,4,347.551020408163,6.7800453514739,340.770975056689,83.6629439810574,-4.99377148804425,102.220880287129,111.124639078689,101.590097162846,107.226272373622,837.36740483895,1176.9267757116,834.555980641922,837.36740483895,190.42031359557,0.428792189660142,0.731047356728304,0.409485518070434,0.667260664763664,0.0175847378392545,0.0457897263391522,0.0176991324048575,0.0114088706245446,7.88513221550409,2.82892243746395,5.84633441350487,3.0554479726836
S1R32C005.wav,S1,D,15,C,5,398.75283446712,6.7800453514739,391.972789115646,85.7040179056215,-4.99377148804425,100.971135365397,110.225142973517,100.372040579648,106.485504407392,820.759032468841,1287.33807920762,818.173364314554,820.759032468841,192.461387520134,0.420404834927524,0.662064595116069,0.418642558282817,0.655865521783053,0.0193169820729144,0.0564347566266953,0.0194284368402398,0.0119858487437176,8.21922441699537,2.83224264815688,5.88635802683805,2.91188005911441
S1R32C006.wav,S1,D,15,C,6,398.684807256236,6.19047619047618,392.49433106576,86.0597939024709,-5.08474326624998,101.044898924767,110.397098181543,100.494580160111,106.603611369858,817.533004814469,1155.05871683051,814.914345938113,817.533004814469,192.227594355986,0.414140631269718,0.697995638860539,0.426915753668753,0.646135917005721,0.0195351726986125,0.0528094507855166,0.0196550911011184,0.0116015327998856,8.1683208435211,2.78306163947854,5.90267748735215,2.92144351791206
S1R32C007.wav,S1,D,15,C,7,439.229024943311,6.7800453514739,432.448979591837,85.754405463142,-4.99377148804425,101.318357932703,110.946055653326,100.720135567095,107.237666364548,829.142349764761,1188.89738920199,826.940192867449,829.142349764761,192.511775077654,0.395300768411578,0.664757124159079,0.408566204121854,0.648947790644386,0.0197885400468346,0.0548139984007398,0.0199378877641285,0.0117003522240992,8.66234892750311,2.85924116290211,5.94748711260484,2.80838710190567
S1R32C008.wav,S1,D,15,C,8,427.709750566893,6.7800453514739,420.929705215419,86.2835659995072,-4.99377148804425,100.283327622123,109.699743077415,99.7025306167731,106.088926326454,821.538669947595,1069.09383669705,818.954936076429,821.538669947595,193.04093561402,0.393731189822695,0.616666236349575,0.391489869709239,0.665026723851849,0.0207316125055993,0.0479560158152131,0.0208589389786031,0.0112741629640212,8.32511987952367,2.81559200402868,5.95977836808959,2.85700055031948
S1R32C009.wav,S1,D,15,C,9,439.160997732426,6.19047619047618,432.97052154195,85.7369938266172,-5.08474326624998,101.660055610869,111.663183374561,101.064303522221,107.59546032791,829.90135269317,1147.44106068766,828.019893808209,829.90135269317,191.904794280132,0.392783912330421,0.594998123880028,0.407445490618603,0.677693877217735,0.0196642850427533,0.0473619888771313,0.0197856824214809,0.0106928637507896,8.87244872372659,2.8047044911774,6.3257179064609,2.98230447711285
S1R33N001.wav,S1,D,16,N,1,398.888888888889,6.19047619047618,392.698412698413,86.1781087428026,-5.08474326624998,99.8624985406887,109.512666252477,99.2617174545825,105.372779302341,832.543270230447,1056.45206102063,828.797073074296,832.543270230447,192.345909196317,0.407684972457314,0.708195450510381,0.384164146433445,0.644792135212545,0.020807927124203,0.042764052587945,0.0209205113292272,0.0117516480994288,8.09864802672711,2.66627007896587,6.10873626360434,3.02272253008084
S1R33N002.wav,S1,D,16,N,2,347.573696145125,6.19047619047618,341.383219954649,84.6272994733322,-5.08474326624998,101.070388728409,110.50036428795,100.41071375456,106.01140052779,858.409394595636,1113.46661077454,853.308195611731,858.409394595636,190.795099926847,0.391726108580461,0.628031104629056,0.406191430234969,0.631282619014152,0.0193524904650015,0.0495392908541098,0.0194372310539508,0.0122281742242446,7.68187300133367,2.59399028387581,5.97088982842515,3.13331977213601
S1R33N003.wav,S1,D,16,N,3,365.555555555556,6.19047619047618,359.365079365079,85.5340677158421,-5.08474326624998,100.625144528294,110.015982542155,100.008405717438,105.768819740597,827.457807121693,1074.355864686,823.017452379414,827.457807121693,191.701868169357,0.426512449181426,0.679215909533454,0.444177032063316,0.653822032110288,0.0193555329551594,0.0469906799202098,0.0194305814665751,0.0124018221876779,7.29800770525192,2.47549707130112,5.88487698223792,3.03191266795623
S1R33N004.wav,S1,D,16,N,4,347.097505668934,6.19047619047618,340.907029478458,85.1259641639527,-5.08474326624998,101.835838925412,111.18914784935,101.188722326242,106.731188070125,865.435389611493,1116.1906920258,861.577034738535,865.435389611493,191.293764617467,0.421417012146814,0.714279270772694,0.416755063016819,0.684103683575046,0.0181288611452486,0.0447325748770598,0.0181883404945415,0.0122759876213849,7.86255976699528,2.67854232669577,6.0396436265615,3.19071509046875
S1R33N005.wav,S1,D,16,N,5,419.591836734694,6.19047619047618,413.401360544218,85.1785835613884,-5.08474326624998,100.900926295087,110.901803301066,100.273391742934,106.648218616979,836.190899908835,1058.65573127984,832.159831774104,836.190899908835,191.346384014903,0.400914946300609,0.639408649193978,0.422244387164858,0.635934036857729,0.0205622621338475,0.0390014795073574,0.0207097044584729,0.0119610413683658,8.29361371367117,2.62240614167012,6.40496408950134,3.07450607446972
S1R33N007.wav,S1,D,16,N,7,347.120181405896,6.19047619047618,340.92970521542,85.6029703536275,-5.08474326624998,101.714104653864,110.990274853213,101.080778795191,106.593864029114,860.864217721851,1075.65772421344,857.006764322723,860.864217721851,191.770770807142,0.415210206242848,0.695611943523639,0.413774199593302,0.609964741809623,0.0182482547814607,0.0440045627177119,0.0183241724028357,0.0121169964203203,7.9224028467402,2.72300483280229,6.11777440283883,3.24294211163771
S1R33N008.wav,S1,D,16,N,8,419.160997732426,6.19047619047618,412.97052154195,85.9278536326857,-5.08474326624998,101.787277487265,111.786669679744,101.159002575543,107.47550097265,838.321903844775,1192.92433765336,834.59590686757,838.321903844775,192.0956540862,0.415439228173455,0.71294255146302,0.424715475776359,0.666880786595036,0.0193061615197606,0.0464575728200495,0.0193856316497964,0.011583201418591,8.7434414127083,2.7651124311577,6.4788629397794,3.13093371089312
S1R33N009.wav,S1,D,16,N,9,362.97052154195,6.19047619047618,356.780045351474,85.111732183699,-5.08474326624998,101.519285895179,111.009086093523,100.878811686596,106.614014054294,843.118879193903,1114.63003593645,839.063470644839,843.118879193903,191.279532637214,0.416149906288252,0.65638696279001,0.434998546268369,0.695158139823536,0.0181843137804524,0.0460534469662215,0.0182585793192253,0.0124871348013757,7.72948674965854,2.59215309088387,6.10319597265973,3.15353167057116
S2L56C001.wav,S2,ND,1,C,1,479.024943310658,4.39909297052154,474.625850340136,92.4175368767572,-5.42635690237161,NaN,NaN,NaN,NaN,861.612958894676,1374.41229955628,859.42775886016,861.612958894676,196.793954110317,0.366730233509144,0.555565192885446,0.370280012033436,0.637890443118318,0.0205817757308208,0.0389175490772614,0.0206879122321755,0.0147649557320252,6.75001436184769,2.40880362023536,6.94169838923005,3.36057759359522
S2L56C002.wav,S2,ND,1,C,2,455.192743764172,5.60090702947845,449.591836734694,90.8364811579151,-5.18482672480696,NaN,NaN,NaN,NaN,856.509549065552,1246.99134807495,852.441552567509,856.509549065552,196.414712450432,0.387241106655943,0.801311166838779,0.370900621322095,0.629786974898565,0.0191661050154849,0.0438568323892223,0.0192556642706887,0.0147927039581199,6.34902907257264,2.0962163995515,5.89740306968405,2.91482096059422
S2L56C003.wav,S2,ND,1,C,3,348.75283446712,4.98866213151926,343.764172335601,90.5088808494027,-5.30058751508258,NaN,NaN,NaN,NaN,949.129133594896,1286.60102505267,941.454868573257,949.129133594896,195.47486724396,0.468227049520299,0.852786024350675,0.466750880615467,0.583686663027934,0.0173562541502285,0.0495130033252764,0.0173279873514298,0.0150392377135932,6.19813785441294,2.00322879070925,6.44029609153344,3.59038420248188
S2L56C004.wav,S2,ND,1,C,4,426.462585034014,5.60090702947845,420.861678004535,89.9869856523328,-5.18482672480696,NaN,NaN,NaN,NaN,885.81400908529,1285.98609874467,880.261442625621,885.81400908529,195.56521694485,0.370726855998209,0.805677044014546,0.406391704750872,0.615007531411626,0.0187226105546082,0.0452220218974978,0.0187426048821162,0.0152029337713172,6.56751472793185,2.19898071229496,6.09945860065069,3.09614946912137
S2L56C005.wav,S2,ND,1,C,5,464.580498866213,5.60090702947845,458.979591836735,90.5179625764878,-5.18482672480696,NaN,NaN,NaN,NaN,857.476318057841,1242.88765081171,853.617473305451,857.476318057841,196.096193869005,0.392786286131772,0.782973088756152,0.38337368276067,0.65241894582679,0.0199694527892203,0.0440829564459017,0.0200722241869511,0.0153448406820074,6.46453762801566,2.13002040838942,5.75996708129728,2.81454394315043
S2L56C006.wav,S2,ND,1,C,6,464.37641723356,4.98866213151926,459.387755102041,91.2036457260694,-5.30058751508258,NaN,NaN,NaN,NaN,865.666606614749,1298.34750919595,862.775186231942,865.666606614749,196.169632120627,0.382960517231822,0.837626149891913,0.384302678252052,0.634305449489168,0.0195814862746407,0.0542005896809147,0.0196419794985046,0.0146527876683335,6.62277825066375,2.02042206181312,6.82087962753511,3.32282242899006
S2L56C007.wav,S2,ND,1,C,7,464.467120181406,5.60090702947845,458.866213151927,90.5725128344312,-5.18482672480696,NaN,NaN,NaN,NaN,867.338187682295,1219.46654955441,864.225527220302,867.338187682295,196.150744126948,0.378317570098942,0.810330450573285,0.392618334323161,0.643306345672077,0.0198890817463513,0.0482511818716961,0.0199867028550218,0.0152409844771783,6.67383163050755,2.15441477803085,5.94264425254336,2.90388640879815
S2L56C008.wav,S2,ND,1,C,8,455.215419501134,5.60090702947845,449.614512471655,90.3036613105061,-5.18482672480696,NaN,NaN,NaN,NaN,875.692484586739,1284.10005023117,871.401489821916,875.692484586739,195.881892603023,0.380987686087484,0.747572982369938,0.396748229197809,0.624091096298759,0.0193431857855982,0.047534238550783,0.0194011734685651,0.0150621299444773,6.77765094122852,2.23760804850974,6.18702682774874,3.04079820015504
S2L56C009.wav,S2,ND,1,C,9,455.034013605442,5.60090702947845,449.433106575964,90.1039181342008,-5.18482672480696,NaN,NaN,NaN,NaN,876.794777319452,1336.89883611006,871.911735398007,876.794777319452,195.682149426718,0.388011058710028,0.804780633855732,0.371322719287811,0.612682579273402,0.0190684627727985,0.0534697267941002,0.019113229250814,0.0153641484984277,6.86845155822451,2.26887351182399,6.42703625969734,3.14911698625011
S2L56C010.wav,S2,ND,1,C,10,455.056689342404,5.60090702947845,449.455782312925,90.0525508807903,-5.18482672480696,NaN,NaN,NaN,NaN,878.061194017565,1312.1451813572,873.244812698891,878.061194017565,195.630782173307,0.392125315622675,0.751456622628996,0.375918102970003,0.62517736471261,0.0195060063031217,0.0549102365115411,0.0195371840908981,0.0152760966381109,6.86325534298351,2.27496217718967,6.28471610421941,3.07907227284294
S2L57N001.wav,S2,ND,2,N,1,465.079365079365,5.60090702947845,459.478458049887,91.9094495145864,-5.18482672480696,NaN,NaN,NaN,NaN,817.742122291438,1161.3833445801,815.533686240363,817.742122291438,197.487680807103,0.380684401999236,0.809070020667162,0.392417290443846,0.702035918081518,0.0195641343304006,0.0409854717860478,0.0197013982986644,0.0145623627329865,6.08194472914882,2.31181254126617,6.18353327927017,3.0592461669363
S2L57N002.wav,S2,ND,2,N,2,465.736961451247,4.98866213151926,460.748299319728,93.6503415868732,-5.30058751508258,NaN,NaN,NaN,NaN,779.065560004921,1057.92428989265,778.273297200627,779.065560004921,198.616327981431,0.371737096156976,0.811635263637993,0.381009381269847,0.744834584536335,0.0211267151791351,0.0324343189323108,0.0212984844978966,0.0135787516100373,5.53386176336118,2.24321433875588,5.65586815185175,2.82706094410381
S2L57N003.wav,S2,ND,2,N,3,465.46485260771,6.19047619047618,459.274376417234,91.1655958089969,-5.08474326624998,NaN,NaN,NaN,NaN,784.401659599883,1190.81941389199,782.95475818836,784.401659599883,197.333396262512,0.378362878825363,0.78334572682589,0.38862300471046,0.68110454215676,0.0206652854116922,0.0457445186218014,0.0208372380889804,0.0138174487188679,5.89688661339974,2.12726828845785,4.90025014417441,2.43119380825992
